Tue Sep 15 01:39:10 2026    docs/evidence/runs/2026-09-15-dedup-exact-config/profile-v1.pstats

         3807938 function calls (3781650 primitive calls) in 3.290 seconds

   Ordered by: cumulative time
   List reduced from 2006 to 20 due to restriction <'proposal_admission|yaml/__init__|method.*execute'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4609    0.006    0.000    1.445    0.000 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:117(safe_load)
     4609    0.012    0.000    1.439    0.000 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:74(load)
     1152    0.011    0.000    0.540    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:239(admit_proposal)
     1152    0.011    0.000    0.456    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:166(_admit_rows)
     1152    0.007    0.000    0.426    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:65(_dedup_owner)
     1152    0.003    0.000    0.277    0.000 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:248(dump)
     1152    0.009    0.000    0.273    0.000 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:215(dump_all)
    12784    0.125    0.000    0.125    0.000 {method 'execute' of 'sqlite3.Connection' objects}
        2    0.036    0.018    0.036    0.018 {method 'executescript' of 'sqlite3.Connection' objects}
     1152    0.006    0.000    0.021    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:148(_validation_error)
        1    0.000    0.000    0.020    0.020 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:1(<module>)
    11520    0.005    0.000    0.007    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:160(<genexpr>)
    11520    0.002    0.000    0.002    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:161(<genexpr>)
       66    0.002    0.000    0.002    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
     1152    0.001    0.000    0.001    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:61(_result)
        1    0.000    0.000    0.000    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:362(YAMLObject)
        1    0.000    0.000    0.000    0.000 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:351(__init__)
        1    0.000    0.000    0.000    0.000 /home/erik/.local/lib/python3.10/site-packages/yaml/__init__.py:347(YAMLObjectMetaclass)
        1    0.000    0.000    0.000    0.000 /hot-data/fsx/workspace/erik/orze-p1-continuation-20260914/orze/src/orze/core/proposal_admission.py:53(ProposalAdmissionError)


